programa_id,nombre,categoria,clasificacion,clasificacion_criterio,clasificacion_fuente,clasificado_en
37,ACUÍCOLAS,,PRODUCTIVIDAD,"Regla 900 (.*): Regla por defecto: todo lo que no cae en un supuesto emergente se contabiliza como productividad, y se marca con incidencia PROGRAMA_CLASIFICADO_POR_DEFECTO para revisión humana.","Acuerdo de trabajo: catch-all auditable, nunca silencioso",2026-08-13 16:24:06.522473+00
38,APÍCOLAS,,PRODUCTIVIDAD,"Regla 900 (.*): Regla por defecto: todo lo que no cae en un supuesto emergente se contabiliza como productividad, y se marca con incidencia PROGRAMA_CLASIFICADO_POR_DEFECTO para revisión humana.","Acuerdo de trabajo: catch-all auditable, nunca silencioso",2026-08-13 16:24:06.522473+00
39,AVENA Y GARBANZO,,PRODUCTIVIDAD,"Regla 900 (.*): Regla por defecto: todo lo que no cae en un supuesto emergente se contabiliza como productividad, y se marca con incidencia PROGRAMA_CLASIFICADO_POR_DEFECTO para revisión humana.","Acuerdo de trabajo: catch-all auditable, nunca silencioso",2026-08-13 16:24:06.522473+00
40,PACAS Y SUPLEMENTOS,,PRODUCTIVIDAD,"Regla 900 (.*): Regla por defecto: todo lo que no cae en un supuesto emergente se contabiliza como productividad, y se marca con incidencia PROGRAMA_CLASIFICADO_POR_DEFECTO para revisión humana.","Acuerdo de trabajo: catch-all auditable, nunca silencioso",2026-08-13 16:24:06.522473+00
41,MAÍZ BLANCO,,PRODUCTIVIDAD,"Regla 900 (.*): Regla por defecto: todo lo que no cae en un supuesto emergente se contabiliza como productividad, y se marca con incidencia PROGRAMA_CLASIFICADO_POR_DEFECTO para revisión humana.","Acuerdo de trabajo: catch-all auditable, nunca silencioso",2026-08-13 16:24:06.522473+00
42,MUNICIPALIZADO,,PRODUCTIVIDAD,"Regla 900 (.*): Regla por defecto: todo lo que no cae en un supuesto emergente se contabiliza como productividad, y se marca con incidencia PROGRAMA_CLASIFICADO_POR_DEFECTO para revisión humana.","Acuerdo de trabajo: catch-all auditable, nunca silencioso",2026-08-13 16:24:06.522473+00
43,BORDERÍA,,PRODUCTIVIDAD,"Regla 900 (.*): Regla por defecto: todo lo que no cae en un supuesto emergente se contabiliza como productividad, y se marca con incidencia PROGRAMA_CLASIFICADO_POR_DEFECTO para revisión humana.","Acuerdo de trabajo: catch-all auditable, nunca silencioso",2026-08-13 16:24:06.522473+00
44,TECNIFICACIÓN,,PRODUCTIVIDAD,"Regla 900 (.*): Regla por defecto: todo lo que no cae en un supuesto emergente se contabiliza como productividad, y se marca con incidencia PROGRAMA_CLASIFICADO_POR_DEFECTO para revisión humana.","Acuerdo de trabajo: catch-all auditable, nunca silencioso",2026-08-13 16:24:06.522473+00
45,DINAMISMO AGROALIMENTARIO,,PRODUCTIVIDAD,"Regla 900 (.*): Regla por defecto: todo lo que no cae en un supuesto emergente se contabiliza como productividad, y se marca con incidencia PROGRAMA_CLASIFICADO_POR_DEFECTO para revisión humana.","Acuerdo de trabajo: catch-all auditable, nunca silencioso",2026-08-13 16:24:06.522473+00
46,EMERGENTE PECUARIO,,EMERGENTE,Regla 10 (EMERGENTE): El nombre del programa declara explícitamente que es un programa emergente.,Nomenclatura oficial de programas SEDEA (analitica.programa),2026-08-13 16:24:06.244061+00
47,"EMERGENTE REACTIVACIÓN ECONÓMICA MÓDULOS D.R. 023, S.J.R.",,EMERGENTE,Regla 10 (EMERGENTE): El nombre del programa declara explícitamente que es un programa emergente.,Nomenclatura oficial de programas SEDEA (analitica.programa),2026-08-13 16:24:06.244061+00
48,PROGRAMA MUNICIPALIZADO,,PRODUCTIVIDAD,"Regla 900 (.*): Regla por defecto: todo lo que no cae en un supuesto emergente se contabiliza como productividad, y se marca con incidencia PROGRAMA_CLASIFICADO_POR_DEFECTO para revisión humana.","Acuerdo de trabajo: catch-all auditable, nunca silencioso",2026-08-13 16:24:06.522473+00
49,"FERIAS, EVENTOS Y APOYO A COTAS",,PRODUCTIVIDAD,"Regla 900 (.*): Regla por defecto: todo lo que no cae en un supuesto emergente se contabiliza como productividad, y se marca con incidencia PROGRAMA_CLASIFICADO_POR_DEFECTO para revisión humana.","Acuerdo de trabajo: catch-all auditable, nunca silencioso",2026-08-13 16:24:06.522473+00
50,TECNIFICACIÓN DE RIEGO,,PRODUCTIVIDAD,"Regla 900 (.*): Regla por defecto: todo lo que no cae en un supuesto emergente se contabiliza como productividad, y se marca con incidencia PROGRAMA_CLASIFICADO_POR_DEFECTO para revisión humana.","Acuerdo de trabajo: catch-all auditable, nunca silencioso",2026-08-13 16:24:06.522473+00
51,"SANIDAD E INOCUIDAD AGROALIMENTARIA 
(ACUÍCOLA, VEGETAL Y PECUARIO)",,EMERGENTE,Regla 50 (SANIDAD|INOCUIDAD|BRIGADAS COMUNITARIAS): Sanidad e inocuidad operan como contención de riesgo fitozoosanitario.,Criterio de política pública SEDEA confirmado con el área (2026-08-12),2026-08-13 16:24:06.454645+00
